tempo,x,y,referencia,ang_control,angulo
1541268292.775745,152.4,10,160,0,87.09949411484605
1541268292.8097534,144.6,10,160,0,84.1381711585338
1541268292.842004,136.8,10,160,0,81.20791846896485
1541268292.8741453,129.2,10,160,0,78.39654663312345
1541268292.9056273,121.6,10,160,0,75.64066345575537
1541268292.9427245,121.6,10,160,0,75.64066345575537
1541268292.9768836,121.8,10,160,0,75.71238211449071
1541268293.0145857,122.2,10,160,0,75.85595650967328
1541268293.052865,122.4,10,160,0,75.9278118821385
1541268293.0851402,122.6,10,160,0,75.99971246052769
1541268293.116957,123,10,160,0,76.14364849830146
1541268293.1508462,123.4,10,160,0,76.28776314146798
1541268293.184874,123.8,10,160,0,76.43205489578204
1541268293.2162254,124.2,10,160,0,76.57652225433753
1541268293.2475498,124.8,10,160,0,76.7935492227705
1541268293.2784889,125.2,10,160,0,76.93844891667189
1541268293.3120599,125.6,10,160,0,77.08351884181857
1541268293.3429987,125.8,10,160,0,77.15611715311799
1541268293.3746355,126,10,160,0,77.22875743509856
1541268293.4052784,126,10,160,0,77.22875743509856
1541268293.436403,126,10,160,0,77.22875743509856
1541268293.4674733,126.2,10,160,0,77.30143949044887
1541268293.4988337,126.4,10,160,0,77.37416312109269
1541268293.5298479,126.6,10,160,0,77.44692812819129
1541268293.5624545,126.8,10,160,0,77.51973431214574
1541268293.5936267,127,10,160,0,77.59258147259925
1541268293.6251156,127,10,160,0,77.59258147259925
1541268293.656772,127,10,160,0,77.59258147259925
1541268293.6871808,127,10,160,0,77.59258147259925
1541268293.7183135,126.8,10,160,0,77.51973431214574
1541268293.7491837,126.6,10,160,0,77.44692812819129
1541268293.7821946,126.4,10,160,0,77.37416312109269
1541268293.8150747,126.2,10,160,0,77.30143949044887
1541268293.846492,126,10,160,0,77.22875743509856
1541268293.8780744,126,10,160,0,77.22875743509856
1541268293.909374,126,11,160,0,77.14588263101106
1541268293.9410532,126,11,160,0,77.14588263101106
1541268293.9717393,126,10,160,0,77.22875743509856
1541268294.003142,126,11,160,0,77.14588263101106
1541268294.03627,126,11,160,0,77.14588263101106
1541268294.0670063,126,11,160,0,77.14588263101106
1541268294.0979655,126.2,11,160,0,77.21900463007375
1541268294.1295333,126.4,11,160,0,77.29216899198983
1541268294.1608207,126.6,11,160,0,77.36537551477008
1541268294.1916974,126.8,11,160,0,77.43862399564189
1541268294.2228124,127,11,160,0,77.51191423105149
1541268294.2537582,127.2,11,160,0,77.58524601666645
1541268294.2852852,127.2,11,160,0,77.58524601666645
1541268294.3173523,127.4,11,160,0,77.65861914737805
1541268294.3501327,127.4,11,160,0,77.65861914737805
1541268294.3818936,127.6,11,160,0,77.73203341730382
1541268294.4142356,127.6,11,160,0,77.73203341730382
1541268294.4474058,127.8,11,160,0,77.80548861979004
1541268294.4873302,127.8,11,160,0,77.80548861979004
1541268294.5181146,128,11,160,0,77.87898454741425
1541268294.550348,128,11,160,0,77.87898454741425
1541268294.5821774,127.8,11,160,0,77.80548861979004
1541268294.6151717,127.6,11,160,0,77.73203341730382
1541268294.647415,127.4,10,160,0,77.73839791780118
1541268294.680169,127.2,10,160,0,77.66546940843955
1541268294.7130373,127,10,160,0,77.59258147259925
1541268294.7437131,127,10,160,0,77.59258147259925
1541268294.775531,127,10,160,0,77.59258147259925
1541268294.8060744,127,10,160,0,77.59258147259925
1541268294.8387601,127,10,160,0,77.59258147259925
1541268294.8699727,127,10,160,0,77.59258147259925
