x,y,referencia,ang_control,angulo
165.2,31,160,0,92.30834757520081
170.4,31,160,0,94.60922582103325
175.6,31,160,0,96.89530941433263
180.8,31,160,0,99.15955417321537
186,31,160,0,101.39532105389284
186.2,31,160,0,101.48065836776479
186.4,31,160,0,101.56594408351529
186.6,31,160,0,101.65117787033962
186.8,31,160,0,101.73635939875518
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,31,160,0,101.82148834060725
187,32,160,0,101.9112154319716
187.2,32,160,0,101.99689930792357
187.4,32,160,0,102.08252876015304
187.6,32,160,0,102.16810345834169
188,32,160,0,102.33908727832619
188.4,33,160,0,102.60521477106015
188.6,33,160,0,102.69111826508819
188.8,33,160,0,102.7769637898453
189,33,160,0,102.8627510189582
189,33,160,0,102.8627510189582
189,33,160,0,102.8627510189582
189,34,160,0,102.961401850992
189,34,160,0,102.961401850992
189,35,160,0,103.06155108332811
188.4,35,160,0,102.80030370156463
186.8,35,160,0,102.10101754240601
183.4,36,160,0,100.68659608438405
178.2,36,160,0,98.34992259172782
171.2,36,160,0,95.16109803336025
163.2,36,160,0,91.47827265668887
155,36,160,0,87.69093721097431
147.4,37,160,0,84.15107835407105
140.4,38,160,0,80.87309363811688
135.2,38,160,0,78.50955211975298
128.2,40,160,0,75.1577729420889
122.4,40,160,0,72.60248711439495
116.6,40,160,0,70.11663161164533
110.8,39,160,0,67.87277213484934
104.2,38,160,0,65.42173086836658
100.4,38,160,0,63.963353415575504
96.2,37,160,0,62.58426703110202
92.6,36,160,0,61.473779713923065
90.2,36,160,0,60.62469932369007
88.2,36,160,0,59.92777449395955
86.2,35,160,0,59.44239767258825
84.2,35,160,0,58.767377400576265
82.6,35,160,0,58.23420841713904
81.4,34,160,0,58.04369239405912
80.8,34,160,0,57.84770485871766
80.8,34,160,0,57.84770485871766
81.4,34,160,0,58.04369239405912
82.6,33,160,0,58.63983065458312
83.4,33,160,0,58.903737276054656
84,33,160,0,59.102634839733504
84.6,33,160,0,59.30236222084399
85.2,33,160,0,59.50291973896327
85.4,33,160,0,59.56995676381895
85.6,33,160,0,59.63708606049745
85.8,33,160,0,59.70430763495987
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,34,160,0,59.57421619803874
86,34,160,0,59.57421619803874
86,34,160,0,59.57421619803874
86,34,160,0,59.57421619803874
86,34,160,0,59.57421619803874
86,34,160,0,59.57421619803874
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86,33,160,0,59.77162149216751
86.2,33,160,0,59.83902763607636
86.8,33,160,0,60.04179981237119
87.4,33,160,0,60.24540261369643
88.8,32,160,0,60.91500026477533
91.2,32,160,0,61.741970385293115
94.6,31,160,0,63.116051673355855
98.8,31,160,0,64.6194672085755
103.8,31,160,0,66.4592215159492
108,31,160,0,68.04559814158262
112,30,160,0,69.7343025290525
115.2,30,160,0,70.98526087164441
117.6,30,160,0,71.93606399007389
119.8,30,160,0,72.81678209171083
122.6,30,160,0,73.9498800045646
124.6,30,160,0,74.76725954584197
127,30,160,0,75.75653942645218
130,29,160,0,77.10124889583555
133.4,29,160,0,78.52194658972415
136.2,29,160,0,79.70285147281241
140.2,29,160,0,81.4050829879798
144.6,29,160,0,83.29523855581496
149.2,28,160,0,85.32258214111825
154,28,160,0,87.39743779750019
159.8,28,160,0,89.9131882792897
164.4,28,160,0,91.90915243299638
168.4,28,160,0,93.64118525790134
172,28,160,0,95.1944289077348
175,29,160,0,96.53213668785244
177.8,28,160,0,97.67992180261194
